ticker,fiscal_year,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,net_income,total_equity,total_liabilities,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,net_ppe,shares_outstanding,market_value_equity,dividend_cash_paid,eps_basic,managerial_inside_own,state_own,institutional_own,foreign_own,employees_count,firm_age,product_innovation,process_innovation,net_cfo,capex,net_cfi
CLH,2020,712913618863.0,306212551097.0,13045817268.0,30207239124.0,0.0,103496426062.0,108923484798.0,461665218499.0,462482466185.0,15721225860.0,28171451402.0,664542359097.0,0.0,57359648441.0,188893398810.0,117319152287.0,33863885070.0,28523599622.0,73608102988.0,88795552665.0,0.0337,22374363002.0,210330580186.0,12000000,152784000000.0,-23792959500.0,4.234,0.0072,0.5138,0.6098,0.0017,556.0,12,0,0,68062683487.0,-15560801868.0,-15540436667.0
CLH,2021,733785505193.0,307523965887.0,13099398192.0,31016212224.0,0.0,114738626010.0,121681425750.0,440958482239.0,437883901734.0,9976126619.0,37989386408.0,662039852368.0,0.0,54488142853.0,203903306326.0,103620659561.0,86919518995.0,7984534717.0,119301233964.0,95636124844.0,0.0293,13550244462.0,167085255643.0,12000000,219804000000.0,-51386637096.0,4.541,0.009,0.5138,0.6098,0.0017,548.0,13,0,1,126163051536.0,-9471250649.0,-19231267055.0
CLH,2022,811808649177.0,319238155475.0,16315907827.0,38511722246.0,0.0,140696847787.0,120897411027.0,510276937889.0,512079827889.0,21386829384.0,58340683184.0,758980465676.0,0.0,56034838069.0,203256459661.0,115981695814.0,102356107880.0,5520666186.0,179732653678.0,110461029628.0,0.1063,26786291654.0,124979915789.0,12000000,262680000000.0,-43314821675.0,4.67,0.0094,0.5138,0.6098,0.0017,542.0,14,0,1,90135750970.0,-4451355332.0,-31384340410.0
CLH,2023,659188568474.0,303338132786.0,12971357743.0,34421305356.0,0.0,120186724000.0,92652295655.0,388731692519.0,411471340441.0,16021748871.0,56367863829.0,598680739795.0,0.0,47118162905.0,196739784497.0,106598348289.0,97621552925.0,3055066121.0,195379802787.0,103543282168.0,-0.188,44168552646.0,94420440372.0,12000000,256416000000.0,-39520931500.0,3.927,0.0042,0.5138,0.5293,0.0308,494.0,15,0,0,33078254657.0,-1374812188.0,4208121888.0
CLH,2024,661186027676.0,312128965936.0,12297022274.0,38020527610.0,0.0,104369676387.0,63731756537.0,410254029978.0,390905854508.0,6354846880.0,49851437055.0,607113167260.0,0.0,38679263999.0,200300885591.0,111828080345.0,115702261577.0,592853832.0,210022921582.0,111235226513.0,0.003,15134650974.0,89968626892.0,12000000,235860000000.0,-18896919600.0,2.3,0.0013,0.5138,0.5421,0.0304,450.0,16,0,1,78112439948.0,-10393252349.0,-36134811696.0
HAP,2020,334507492025.0,808116351096.0,12704685956.0,36846813074.0,5722284537.0,78847936285.0,54952056744.0,182389055419.0,264636540217.0,8595867049.0,42757267110.0,320970629017.0,0.0,34066269391.0,717593247050.0,90523104046.0,55358595013.0,15000000.0,431550376226.0,90508104046.0,-0.11,79463166354.0,58367444709.0,55471151,286175668009.0,-16638508500.0,727.88,0.258,0.0,0.0032,0.0462,639.0,60,0,0,22495854835.0,-6586770599.0,60186501291.0
HAP,2021,497669937607.0,802990455686.0,25148186054.0,28308719785.0,5291558709.0,91431652696.0,72391641933.0,287255066917.0,412479101949.0,10582287822.0,61788970630.0,445969942041.0,0.0,41643368414.0,725754291933.0,77236163753.0,15278472401.0,15000000.0,456148078013.0,77221163753.0,0.49,88374068205.0,45132591073.0,55471151,683792878377.0,-33270141430.0,678.0,0.258,0.0,0.0032,0.0301,620.0,61,1,1,-15810148762.0,-5724503275.0,17911856761.0
HAP,2022,632792975004.0,1325019303064.0,29680077438.0,226800366536.0,4860323895.0,308372798708.0,70516864247.0,324834112471.0,489675302349.0,14376616746.0,71915028078.0,737699337089.0,0.0,7613760364.0,1241360993312.0,83658309752.0,137088154390.0,15000000.0,808492330756.0,83643309752.0,0.27,103405097687.0,35689218788.0,110942302,432342150894.0,-44373127200.0,65.0,0.2573,0.0,0.0034,0.0194,754.0,62,1,1,-21848943708.0,-3717127362.0,-362254143224.0
HAP,2023,299795586824.0,1275256787112.0,12357365205.0,50162142769.0,1243566587.0,72136789000.0,30891743577.0,184196984505.0,241429732016.0,6208034028.0,46976690994.0,304005504801.0,0.0,18310845545.0,1204198187857.0,71058599255.0,11187241877.0,15000000.0,777385166190.0,71043599255.0,-0.53,86327263272.0,30457365665.0,110942302,538070164700.0,-62658486203.0,160.0,0.2573,0.0,0.0034,0.0194,563.0,63,0,0,-13319948400.0,-3469242283.0,-49919510846.0
HAP,2024,419480097595.0,1673886442184.0,14236620386.0,94929311716.0,1896261839.0,149804992202.0,133807743317.0,253217803488.0,359730038965.0,6026665514.0,59316052404.0,477199299543.0,0.0,101815298152.0,1447433324143.0,226453118041.0,17297445823.0,95679193832.0,390489477580.0,130773924209.0,0.4,81611740987.0,377095309936.0,110942302,494802666920.0,,916.0,0.2573,0.0,0.0034,0.0194,859.0,64,0,0,526270296966.0,-6829503685.0,-516247953649.0
IDI,2020,6366756379468.0,7713635990930.0,141379654686.0,39659748947.0,188355179136.0,476795195663.0,519054398621.0,2076567085564.0,6037869256898.0,6218859296.0,194517485907.0,2889906203146.0,,107133325474.0,2998684172328.0,4714951818602.0,539329706401.0,449025713693.0,5426502454202.0,4265926104909.0,-0.1766,1507905050766.0,705627520365.0,227644608,1297346620992.0,,421.0,0.0558,0.0,0.5193,0.0055,3696.0,17,0,1,-33459672644.0,-942644491419.0,-300493149778.0
IDI,2021,5718847615988.0,7553858512578.0,172120430245.0,37983524232.0,192126184379.0,454579696733.0,531524522996.0,1700867482065.0,4929531940510.0,20919681317.0,209941683096.0,2412804167610.0,,143297848497.0,3142608308304.0,4411250204274.0,357187445214.0,295362742313.0,5515277880604.0,4115887461961.0,-0.1018,1278604020897.0,654052262847.0,227644608,2827991155504.0,-79049209.0,591.0,0.0007,0.0,0.5123,0.0046,3547.0,18,1,0,254641848742.0,-248596831057.0,-81102693271.0
IDI,2022,7930524208467.0,8084108337857.0,307901991808.0,60985184872.0,188355179136.0,575747800338.0,969681819288.0,2784698984478.0,7092754005517.0,50537925079.0,354617683997.0,3717954607056.0,,563146438609.0,3366419957171.0,4717688380686.0,640790543399.0,193237735468.0,544976249793.0,4524450645218.0,0.3868,1535483350524.0,617922499071.0,227644608,2072931800448.0,-333293876045.0,2404.0,0.0007,0.0,0.5243,0.0072,3620.0,19,0,1,530468517553.0,-261830776446.0,-59117756016.0
IDI,2023,7221239488941.0,8277448262143.0,131904565161.0,89803602061.0,146269422735.0,426244272603.0,618052840772.0,2664739675418.0,6732951625458.0,24384056811.0,177534282888.0,3431648454088.0,,73354175265.0,3421556613075.0,4855891649068.0,1112379542714.0,325734435796.0,5537285855129.0,4530157213272.0,-0.0895,1571797393210.0,655079812067.0,227644608,2224998398592.0,-8198313674.0,254.0,0.0,0.0,0.5342,0.0176,3250.0,20,0,0,172882585882.0,-9089373624.0,-41307040021.0
